,customer_id,time,amount,became_member_on,gender,age,income
30056,5e8d0ba2daa149a2a6e40495e03ea0c7,48,17.15,2014-05-23,M,46,82000.0
30058,7ba3599e588744af8c0f51d135b35d4d,48,22.82,2015-09-23,M,51,76000.0
30061,ef19f741b64545cd9bcfa2d537a7b968,48,13.54,2017-11-19,M,27,34000.0
30063,ea9fa7fbbcdc44d79b0f0d62d5bbbc41,48,3.68,2016-11-22,M,71,47000.0
30065,60e738bee5ae4f92b437b863736c0cea,48,13.56,2017-11-11,M,24,45000.0
30066,8c8c323df8e2415fbda5b2bbf253ca7b,48,22.56,2015-12-03,M,60,105000.0
30068,33e4e9352ea04b559e0d0a210642ecb3,48,11.05,2016-09-28,M,39,73000.0
30070,2ef3df712274436380108e1227506fcd,48,8.17,2018-03-02,M,60,47000.0
30071,9c9d2659c4ec499288a96dec70fae500,48,12.29,2017-01-12,M,65,76000.0
30073,0ba8b605e9ab4114b55d26c267fdff7f,48,9.5,2018-01-13,F,56,59000.0
30077,31784f1dcba14dc58d35b97e664b1544,48,3.14,2015-09-26,M,42,72000.0
30079,5b4235d326004522b491b98b0eb2ef40,48,9.4,2016-01-08,F,71,40000.0
30080,569875718e4e4d5aa05eb9ce7740736b,48,27.44,2017-06-01,F,70,78000.0
30081,20fce895bebe4d5c9ce55fe83ea9ef90,48,14.56,2017-08-08,M,44,50000.0
30083,9b57b7bc4ea24fc1a3d2f4760a141941,48,0.66,2016-06-27,M,71,30000.0
30084,017160c1cdb845d48abec3c330b4427e,48,24.79,2015-12-14,F,68,76000.0
30085,a4f3350b08934d41a80e526317842b40,48,1.18,2014-12-01,M,40,31000.0
30087,23e9ff13012844d2b66bed7c0195469b,48,14.39,2016-07-18,M,60,56000.0
30089,b3d98037346247bfb88ee5fdef080168,48,0.33,2017-12-26,,118,
30090,020d72e77c704c42bb0a858c1aaa3bcd,48,15.0,2017-06-26,F,68,57000.0
30091,05a490c5df01453fb33e6ddd7e1744be,48,0.43,2016-12-30,F,55,41000.0
30092,1b5ba45f9979429b8eb0454c46724a75,48,0.28,2015-08-09,,118,
30093,79e9755d1f764049b027dc209bd2a85d,48,18.22,2015-01-29,M,45,57000.0
30095,25e43e5144f8494b9e77c1ee72459b7d,48,0.59,2016-03-18,,118,
30096,0215efe5136d4a038cb81eae92d59368,48,21.71,2015-11-16,F,58,64000.0
30097,c0ad83c653ef4f1581612a9454441eb4,48,20.81,2015-10-31,M,37,57000.0
30098,ea68e3cbe9ad426096b500274ab02a9e,48,0.6000000000000001,2017-11-01,,118,
30099,d51f7a0048da4a36af919f4ed4888262,48,1.9300000000000002,2017-04-28,M,20,63000.0
30101,cf7e4e33c98e4a2489846d97d46cb84e,48,2.43,2016-03-10,M,32,45000.0
30103,bdcbab43c2f34ca2a6ae2251a27ff6a4,48,5.13,2014-05-06,M,49,70000.0
30104,0e75eea1fe5d40dd822e9f311738400e,48,25.8,2016-04-03,M,55,81000.0
30109,70899cfb617f4c2ab58c9ac658f7604a,48,20.44,2015-12-01,M,61,68000.0
30111,de4c5385c3bc4575bbd780e38ab4d300,48,37.59,2017-08-15,F,75,86000.0
30114,167594819bb84f848528d759e6253827,48,3.04,2015-04-08,M,55,63000.0
30116,72257b80d8c1407ead2b3af3e7891c25,48,9.63,2016-08-06,F,53,72000.0
30118,18e563ab170d4e6f9f8548ee5488b4c9,48,10.37,2018-04-12,M,34,37000.0
30120,ab5e1ca0319147708e1fd2647125ba20,48,7.84,2015-05-28,M,41,65000.0
30124,d8ac2ffea6e742ef949e4d96097e5c5d,48,27.82,2017-03-03,M,58,96000.0
30125,bde1c2a5283f47cc9a3f932ec3338a31,48,23.19,2016-02-07,F,81,110000.0
30127,f007c1392ef749c5b245ffb3cd5e6e35,48,15.96,2016-02-16,M,53,75000.0
30128,ccc74f3977364661869fb65061f4ea0f,48,6.75,2018-02-18,M,78,52000.0
30129,c72a75ee3f1e4fae8db78cc3e5a4780b,48,12.85,2018-03-06,M,53,68000.0
30130,e3b6fba0f8f54dd4b06f045dcbff29bd,48,12.74,2016-07-18,F,24,57000.0
30133,f8e1667028a44d4b969a55774352235d,48,3.64,2014-11-20,F,54,48000.0
30134,4e3afc3a5bd54635b938093420edf973,48,2.55,2018-05-22,F,18,46000.0
30135,1bfcd756898445fbb1cf02cbe082b89e,48,5.89,2017-07-26,M,32,32000.0
30136,051006a0cddf40e0a973d9317c032086,48,3.2,2014-04-15,M,27,33000.0
30138,eefce44ec87640a499c1043a3cf32f31,48,23.06,2016-01-03,M,73,92000.0
30140,365c954d08074683a4bfa8a55f373f86,48,3.35,2018-05-29,M,29,59000.0
30141,51d24a88e6fb4395b670ec41ab687ad2,48,0.2,2015-04-06,M,28,47000.0
30142,670626b55bfb4ba39c85b27cc7cca527,48,3.8200000000000003,2016-05-11,M,21,39000.0
30144,3579056d94644a9481e05012b48fe252,48,6.25,2015-01-17,F,37,62000.0
30145,29429c50dbba41029257421ba4135139,48,1.51,2013-08-13,M,25,62000.0
30147,ec65e9186cd449908f63cbbaa16843fb,48,82.56,2018-05-07,M,58,34000.0
30150,40bbc83401e74e71ace9e09af32c516e,48,12.48,2015-10-15,M,49,47000.0
30151,671a142bc07e47389b920cb0c37793bd,48,6.43,2018-01-25,M,29,67000.0
30152,12e0c95d8db54ee48800073d5b0a1269,48,23.44,2018-04-17,M,80,72000.0
30153,d4a7ab8bfb7940479867e911e984505b,48,18.8,2017-03-15,M,66,83000.0
30154,2f21db46b5f84be5b4d14cac584cdc0d,48,6.03,2015-05-30,M,63,66000.0
30155,e20a018d829b41e5a01e46d71a6dd009,48,25.06,2017-08-14,F,43,73000.0
30156,251d8e61db61415fbb3eee0b89ef40e1,48,13.77,2017-09-16,F,54,66000.0
30157,f3db61e170a74b94979f2d9d3e512cf4,48,3.76,2016-04-06,M,26,32000.0
30159,a44b09e04d394303aa5c79cba7655a02,48,0.29,2018-02-06,M,60,58000.0
30161,61b8c67126e2471892b7336b0bb58f11,48,14.89,2016-10-22,M,82,65000.0
30162,819820580bb040c690d702555dde04dc,48,3.74,2014-01-19,M,34,59000.0
30164,eb259d07d0074f609a7da13e247982e2,48,13.28,2015-08-27,M,31,36000.0
30166,aa51db1856d34ffcb7f275bf195aa870,48,1.77,2018-07-13,M,38,51000.0
30168,3655dd06092b4cf28edf80f4daee8d93,48,21.33,2017-04-24,M,45,82000.0
30170,38f02eb17af04d55b4cff9dacba7e54c,48,11.71,2015-12-17,M,65,80000.0
30172,9bf243bbdc364f2a8efc698555cfc1d9,48,0.85,2016-02-12,,118,
30173,f20c3f0cf44244e185df2264889256d6,48,4.48,2016-09-14,M,60,56000.0
30174,e90d57c4fa084be291e35a32b35076ca,48,1.47,2016-05-24,M,51,30000.0
30175,b03e8502abc0442097197ad9e0c8e0ad,48,17.71,2017-01-04,F,84,87000.0
30176,a53129ef372e44e7af6cbc0a0ec11c26,48,14.36,2017-06-15,M,50,73000.0
30177,c5e5dfb3500d4df68883f030a3f6184c,48,5.21,2015-08-30,F,56,52000.0
30178,671bfb63ca6548839a2891d437d7ffa3,48,7.29,2018-07-17,M,45,64000.0
30179,6c6fe42e0cf24caea7142531a84d15ca,48,1.32,2018-07-19,,118,
30180,3734be2a864546b8acd7b44dd626759b,48,24.07,2017-03-19,M,57,119000.0
30182,80c8a3abd35c47baafb20b4f0fc8702d,48,0.66,2017-09-03,M,66,36000.0
30183,e6adbf61edaa4da98204c3819b20ca74,48,9.99,2015-08-14,,118,
30184,3b6a6519f1454fb88f32e3693c420739,48,4.73,2016-02-14,M,25,48000.0
30185,df893f66c0bc47d288e62f4836925e4a,48,4.06,2014-10-04,M,35,34000.0
30186,31059a17549d4229b8418b785bb65ce7,48,8.3,2016-08-03,M,42,51000.0
30187,b2013e977b734663b47883cfdd0bdebf,48,1.99,2018-04-01,M,63,44000.0
30188,106ebd92bff94148b4948f52079e87dc,48,2.63,2017-10-07,M,37,32000.0
30190,f9c27f6e2fe2441e97db37db2ba3cc17,48,16.92,2017-10-28,M,59,50000.0
30192,8d4554196c5b4a8e84ebfbbfe9d082b9,48,24.29,2018-01-29,F,71,93000.0
30193,a9405d222eb042b3ab274c22f2a3241a,48,7.52,2016-11-19,M,69,31000.0
30194,ed652dee45c042cc99eb591f2f210b65,48,0.64,2016-04-26,,118,
30196,cf61dbadb9f840d0bd8fd8ad7d3d26c8,48,1.09,2018-01-01,,118,
30199,dad1c0e6bfe44dabbcb5c5c355c1cea8,48,10.3,2017-08-02,M,69,35000.0
30202,244d3bc4a9bf4483a7c769b7f1079744,48,4.95,2017-02-06,M,47,39000.0
30203,de557b1ba8494a589bc66d539032f568,48,0.93,2017-01-27,M,19,47000.0
30204,1d72c517c8404527a34f7431b3f0ba93,48,20.79,2018-03-02,F,52,89000.0
30205,e9d127cf3f794ccbaac940f93c15ce8c,48,1.76,2018-03-23,M,43,72000.0
30206,261a27512c6b4c8aaa8cfc6fa465f463,48,18.96,2018-07-09,M,36,91000.0
30208,947e6148f5364f1d99fd0779fd451769,48,11.36,2017-10-29,M,52,92000.0
30209,05037de294c540d3ba92aa627b992066,48,4.12,2015-05-30,M,28,62000.0
30211,a8359470eecc407b813a41fa5fb8b091,48,1.1400000000000001,2016-12-12,M,41,32000.0
30212,c3f272422a0a47ab8dd05239a6b0bbf4,48,16.35,2017-12-04,M,54,63000.0
30214,6de9de1e918648bcb0b69a72d12f6a74,48,1.76,2018-05-16,M,49,57000.0
30215,39e6a566d6d54b7b844bf7753df3f958,48,0.74,2018-07-05,,118,
30217,847c7af48a2e46ba98d14d766b436a9d,48,2.77,2018-06-29,M,36,60000.0
30218,bdca290345e44bd58c27f88a3c8466c9,48,2.56,2017-02-25,,118,
30219,ce2a843de1684511a4276942c4ccead8,48,8.2,2016-10-31,F,19,61000.0
30221,74baf5c00ec246b19efd321ce3873352,48,6.05,2014-02-24,M,18,38000.0
30223,ff32850d18294e8281866662bea65858,48,13.76,2016-01-11,M,58,72000.0
30224,cbabc68837524896880e4fbd8c6b1c34,48,10.11,2016-07-01,F,56,55000.0
30225,8e7d398d4bd948e397e201ad2bd5cce8,48,1.1,2015-08-15,M,25,61000.0
30227,568ef95aa1cd4c11b9d2957865df672c,48,26.02,2018-01-07,F,69,81000.0
30229,69d75d7a2d354401b851152b857c063d,48,7.16,2017-04-15,M,65,50000.0
30230,3b84fac9ca1148bb96b133ced98f565a,48,12.57,2016-05-16,F,30,66000.0
30231,f4996c5638134185b27f27e8bb0adaf1,48,4.06,2018-04-17,M,54,72000.0
30232,823c2c6f40674959920f513ed48a54f2,48,1.44,2017-01-25,,118,
30234,487f3e1448234687a88019ced64fcf9c,48,1.22,2017-01-02,,118,
30235,d087fd0166404163b7d1e1e7cf2a9ac7,48,2.16,2017-12-04,M,71,63000.0
30236,79bfd96879f449a8a32c34947de5638b,48,21.46,2018-03-26,F,65,95000.0
30238,b270f33e4efb46cf8ef0ad6b1fdfefe9,48,16.42,2017-07-26,F,42,70000.0
30239,515d4d9094964a188166571ec1f72c1d,48,1.44,2017-08-11,M,31,41000.0
30240,445649ee453c4633a1e6af2b38d90881,48,33.01,2017-03-18,F,46,95000.0
30241,33be916683434fa3b66027d490a33e2c,48,13.15,2017-04-27,M,40,56000.0
30242,3189cbd23b2d44938a71fd178d23d625,48,33.2,2016-03-24,F,61,83000.0
30244,4e7d4faae08241dabb6d2c1b6857830c,48,9.38,2016-06-17,M,73,32000.0
30245,7f34389be79746aea515fb6980602999,48,0.7000000000000001,2015-10-28,,118,
30247,db71cc5c39584742b495139b180daa20,48,6.02,2017-03-22,M,64,40000.0
30248,ad0884c461704fcdad54dc7d8150ae32,48,19.51,2016-11-20,M,55,57000.0
30250,5f3fd777708140238e54f27f6a667751,48,21.51,2013-09-25,M,76,59000.0
30251,72a82722020446ff8ccfb25825a048ff,48,0.74,2016-07-16,,118,
30252,e7fb284f44a54acc83130fcd5fc802cc,48,29.61,2017-11-18,F,52,83000.0
30254,0e16e7aec2f5499999439990a56e2ddd,48,0.26,2017-11-16,,118,
30255,6d8add6a25974650b5f03c781d172314,48,0.96,2016-03-06,,118,
30256,b7d9416dbfd84e50afd2114c3bafbc00,48,12.61,2017-08-30,F,88,68000.0
30257,677b68c6df3449c2a2853d551c8b2ac3,48,0.9400000000000001,2016-10-30,M,21,52000.0
30259,9d7ee5485d064f5b8cecc53fe55863ac,48,27.04,2016-08-06,M,67,91000.0
30261,76a5b67f65764c71bc6304500ade2028,48,18.17,2016-07-24,M,64,71000.0
30262,dff7535eae704ea0b03e2e94ca777277,48,5.32,2017-04-27,F,72,42000.0
30264,c0bdfd5f10d84c1e981c48c48373e983,48,1.8900000000000001,2015-08-08,M,84,43000.0
30265,3b23884e551e45ffbd81a7370170180a,48,7.86,2017-04-17,F,22,44000.0
30267,efb39b7ee83e4c5db10dd629efad5293,48,15.53,2015-09-16,F,64,73000.0
30269,cadd7084f71e45faac25ea898e03fabc,48,3.09,2014-01-27,M,43,73000.0
30271,800e77c142bd420a986810da209db2f3,48,2.01,2015-02-28,M,37,64000.0
30273,2d2682d1b32942229b9d7a6be3274db6,48,17.82,2017-07-19,F,59,75000.0
30275,b29fe4d821824aa5b7eb865fe2c33a03,48,0.86,2014-09-27,M,60,32000.0
30276,780896df71d247de8ab23edd1201d34d,48,22.3,2016-11-29,M,63,56000.0
30277,c98c6fb3dcfa4c92b8e329a216e83e62,48,1.23,2017-07-24,M,26,44000.0
30278,7bc193b923044908a09dcb938151de01,48,30.29,2015-10-05,F,57,79000.0
30279,35d9cbc99e7c419c9bd8d2d067203ed4,48,9.89,2017-10-30,F,21,49000.0
30280,573b3ad921ad4f3e9a717210f461ea29,48,1.56,2017-08-15,M,26,38000.0
30281,26275bfb01394582b7b5e49f9d0b7d27,48,5.88,2017-07-28,F,33,40000.0
30282,798d915dfb6a4477adf06802ba29477e,48,12.06,2013-12-29,M,78,57000.0
30283,6b1a859eaad74f6d9f566b467c258e99,48,3.11,2014-09-15,M,44,60000.0
30285,8fad4dd94f244217b604184516cab193,48,24.46,2018-03-25,F,58,89000.0
30287,f1811a1e63db41bc8831b3f492a47585,48,18.07,2017-11-20,M,51,52000.0
30289,e36aa8b7995c4f44b159ffd35277fd0b,48,2.43,2014-04-19,M,54,40000.0
30290,834dede1a06246598ffddc82d4ef02e9,48,8.51,2016-12-21,F,43,61000.0
30292,7cd76249602d4423b9f7a30d26bb0637,48,1.48,2016-03-24,,118,
30293,b26d91bfdfa9405e858b8cd75b4b1cf4,48,10.79,2016-10-05,F,26,36000.0
30294,57b6aab7967146d88ff5645f56e2dd07,48,0.54,2016-05-26,M,21,48000.0
30295,6951ddadd1654d718a41335d0a7bbc1c,48,4.09,2018-01-22,F,53,62000.0
30296,75ff6fb8558a4794833ca4bd8a943e14,48,13.02,2016-11-22,F,58,72000.0
30298,868bb47ae89949f4b688981971d9a695,48,2.41,2015-08-19,M,21,39000.0
30299,def0d82517df47a38cb602a587426d63,48,7.25,2017-08-21,,118,
30301,1ea253cf07404bf4a12e604c3c7840c6,48,23.66,2015-12-03,M,64,77000.0
30303,b9950188abc7417c8c1ce93af735e762,48,0.35000000000000003,2018-01-22,M,92,53000.0
30305,66412cc34dd640749fa80e5b8d4d8d18,48,1.53,2015-06-30,O,21,45000.0
30306,ea582a9c77a54ad1bdd66e6ac591318d,48,23.85,2016-04-12,F,43,66000.0
30307,535af760b9b743618f3f7f3ff6bb770b,48,0.97,2013-11-09,M,48,56000.0
30308,2f81287ac4074fcfae3be447a3c19950,48,1.08,2018-01-29,F,73,37000.0
30310,7c31e176638845f9b36b3b1b8ab574a1,48,19.54,2015-09-13,F,39,58000.0
30313,fc97abd51e2d4c1ab6f42676aba3583d,48,0.05,2016-05-08,,118,
30315,cb46664d4630403cb73b959c15258930,48,27.81,2017-09-05,F,55,98000.0
30316,6e0cc5feb3f744119323d15a2c2a69c3,48,20.44,2017-05-18,M,57,72000.0
30318,bd69af886bf2416ea1866d47e6305802,48,2.13,2016-02-24,M,79,61000.0
30319,6a1a4dcb646140af9ac2dc7ac1f8d63f,48,20.28,2016-09-23,F,74,109000.0
30320,3b10bda2377043e282d01eff7e989424,48,1.45,2013-11-12,M,58,71000.0
30322,5c8c624f4fae480998be25aeea535b7c,48,26.76,2016-09-24,M,69,89000.0
30324,562b9efc809b4bd897ce0381347aaea2,48,20.53,2015-11-04,M,31,60000.0
30325,bfb63a0b5e364734ae7dd2d8db85ca8f,48,10.91,2017-09-12,M,59,81000.0
30326,3c5e22dca5164b0ca1203e2ba2a31ca7,48,4.64,2014-10-26,M,35,35000.0
30328,b2dac65b914c4e8daf79d00e8da11f90,48,3.63,2016-12-29,,118,
30329,b9fcb152e8cc41cea4a54725062aa773,48,22.59,2018-01-22,M,74,90000.0
30331,9c1ab40805084b168ad8a4ad2d8e698f,48,6.89,2017-06-14,M,72,43000.0
30333,2c3a15a27abf4226bd0390441af59fd7,48,11.4,2018-01-18,F,74,36000.0
30336,a855e5bfef6f4faca5399b09e613db19,48,8.2,2017-01-25,,118,
30337,414fa303c4454d7c83660df0603d153c,48,14.99,2015-11-27,F,58,72000.0
30338,6c5c1fbb4f974671ae6df61d4d2888b7,48,20.37,2016-02-01,F,56,87000.0
30340,116b28e2983c44039eb8b20292742c94,48,3.66,2018-05-30,,118,
30341,bb32df096aee4e32945119a6c541ee59,48,33.34,2017-03-11,M,68,99000.0
30343,77388a70eaf14433b4efc5d01fa947bf,48,4.1,2013-07-29,M,64,69000.0
30344,44aafdbee1944c2cb759500928bb7a76,48,12.23,2018-03-03,M,25,47000.0
30345,11dc382abae4401f86c3f8517236cfbd,48,0.23,2017-09-11,M,46,47000.0
30346,4363de49f81748e8979fe15f072765b3,48,1.87,2017-03-07,,118,
30347,9e1f034994244ab999fb2dedc7a933bb,48,12.46,2017-06-30,F,69,79000.0
30349,8357d06bb1b54416ac7579127de07a7c,48,1.44,2013-11-15,M,39,33000.0
30350,1abf52a6ee1f44dd90ef5308bc8aa959,48,3.07,2018-05-27,M,42,44000.0
30351,7db3f8507200415eac97160ae57bc688,48,24.93,2016-09-19,M,60,79000.0
30353,436552d254074769ad35ed793c30953e,48,12.32,2016-10-25,F,50,81000.0
30354,a6eb945a4868453bb38ba77ec59f487b,48,9.98,2018-03-23,M,38,74000.0
30355,fb28844eb6c544139eebc3974b4ee74a,48,9.53,2015-08-13,M,86,58000.0
30357,2bc488b1838449ebb5550f7772483a4a,48,0.76,2017-12-08,,118,
30358,500e5fb6aae54e70a9fc81c5b7cc43f2,48,12.77,2016-08-06,F,53,85000.0
30361,0a73c45eda784402957f033343dabeed,48,16.07,2016-12-07,M,63,44000.0
30362,2022ae93abb14db5bf829d7fcf1358aa,48,17.92,2017-12-16,M,46,86000.0
30364,addacaac2dda48b69f68158175f2e797,48,9.35,2016-10-10,M,24,39000.0
30365,7a5f624f754d4fceb346887164425f1d,48,10.54,2015-12-29,F,89,38000.0
30366,70a8ee36b52648268a2b81ce05d48ffb,48,1.8599999999999999,2015-08-03,M,37,70000.0
30367,fecbe60af0f24875892cde695980a61e,48,1.63,2016-06-08,M,68,39000.0
30368,6873c87e6d94458ab9f0217dec258344,48,6.44,2018-07-07,M,19,30000.0
30371,bdfb10a4d8ed4001a0bf9401c397df33,48,2.05,2016-09-17,F,72,37000.0
30372,487ad048c0e248a8bf6eb1545f5be4c6,48,17.83,2017-08-24,F,28,75000.0
30373,8ccd31c912a54ab79e1380010d2d2985,48,2.59,2018-04-17,M,29,40000.0
30374,8fd7cb84c942420f88381e498e81ba5a,48,1.3,2016-04-16,M,68,68000.0
30375,8fe77d1fbeb6475a863322c99f6a5eff,48,6.83,2018-03-31,F,57,35000.0
30376,c474e9179c3549d8b795bcb9242cfc08,48,2.02,2018-06-07,M,54,57000.0
30377,e9b585cc58f843ba8746ff925c865049,48,47.45,2017-12-19,F,48,100000.0
30379,b350ab04dcd3426c8d3159af7d44a2de,48,1.22,2015-01-13,M,89,74000.0
30380,ce7806932b1c4d2985a485a9e4b576c0,48,23.45,2018-05-16,M,43,89000.0
30381,ff0c71628d3f4a4099062a36431452fe,48,17.74,2016-10-25,F,61,64000.0
30382,669f556d7fb7408cb8fb0a5cdd7012fa,48,1.18,2014-10-21,M,34,71000.0
30383,7fa4dff92dce46e1bf9bbc1fb7074a3d,48,10.88,2016-09-07,F,34,35000.0
30385,cc3a69551fd3464eac2ce0310e010398,48,11.42,2017-07-09,M,45,65000.0
30386,905de0fd4a18487bac15b2d95f2c1e3d,48,6.07,2017-08-15,,118,
30388,2e09ec8fe20b4e2db9fc1c2022dcd3d7,48,2.7800000000000002,2018-01-08,M,41,41000.0
30389,4e755b41845349b4bc3c2ae60902ee13,48,24.18,2016-10-27,F,76,66000.0
30391,a9bd819d62554b2896a0528040305ed3,48,19.35,2017-10-31,M,31,72000.0
30392,56c9a82c486c45f6bcc7e2944ff6a48d,48,23.3,2017-05-28,O,22,64000.0
30394,b8371fcbf9ad47ab9c1d49b1e678c887,48,16.75,2017-02-25,M,29,57000.0
30396,89f9b9f794f34b34b0f1b6bceac07883,48,20.04,2016-04-13,F,62,84000.0
30398,6b36a1deee924d688236c11416854db0,48,9.23,2015-10-05,F,58,32000.0
30399,07e7d74b98e9496eae8226d4af05f33b,48,12.61,2015-11-15,F,21,66000.0
30400,815e75930aed488cb61d56afb4627457,48,2.16,2017-07-02,,118,
30402,07e29d02d0074da28b430e1dc40cc1fc,48,17.94,2016-02-03,F,81,75000.0
30403,970d5bbecdf4439caad43284bce5cb60,48,1.94,2017-12-28,,118,
30405,e6d80d24c3a841d189c25fa2cd997b02,48,14.74,2015-09-04,F,43,60000.0
30406,47dbd4e810d646e99061327ee0b066f5,48,6.4,2016-09-14,M,22,36000.0
30407,49d41439112e48d18d5119a99af8c3d7,48,14.99,2017-11-27,F,58,68000.0
30408,7dbce81651b545a2960b635f7d85db4d,48,12.59,2017-08-18,M,39,65000.0
30409,978f08557c534f12b34296dfcc0e07ba,48,28.65,2015-09-06,M,79,114000.0
30411,b4fab356e0a94cd3912b53c475573909,48,19.72,2016-10-06,F,49,56000.0
30412,54e7916b52204385a432562ababa6cc3,48,8.38,2013-11-19,M,72,58000.0
30413,6960918e3a944a9687ed10c529f5e7eb,48,19.04,2015-10-09,F,69,61000.0
30414,757230e7cc8a4c4797e5027dd12b46f6,48,1.81,2016-02-14,,118,
30415,9e7dc72c57bd4116afe26ff053425b2c,48,4.95,2018-01-23,M,41,72000.0
30417,158bda11c34644708c175d7bb5f5c20e,48,2.16,2017-03-24,M,69,46000.0
30418,ea6946e978374cd3a2d9257c32e235ae,48,0.59,2017-10-26,F,51,61000.0
30419,29074c62ec28408e94c2bfe22e6e2c37,48,15.49,2017-11-13,F,65,73000.0
30420,02e2211319524b9e8bd09794d00d8513,48,5.35,2016-11-20,M,24,73000.0
30422,fb1b036d2ecd4464a17f5f31da0a828e,48,8.18,2015-12-11,F,47,55000.0
30423,63538502f7df49bfac67cf4088784d1a,48,7.4,2017-08-28,O,53,68000.0
30426,845aa30576434be8a3895c2ad40848fd,48,16.6,2016-09-09,M,72,80000.0
30429,9aa11a3cdbac4c0192706ac2b7aa40da,48,4.72,2018-07-05,M,49,38000.0
30432,1f69a55fd38841e2ac2f092288efe8ff,48,4.19,2016-07-21,,118,
30434,edb03c88f2dd493b86165cbcf467edad,48,18.48,2016-08-17,F,58,47000.0
30436,4180446d6f81480cbc467b969b9559bc,48,11.1,2016-11-14,F,83,37000.0
30437,0726974d41e5448ebdbb441f00df925f,48,2.16,2018-01-04,,118,
30440,5cabc218a7714ddaad595e50d76b139b,48,5.54,2015-05-02,M,84,66000.0
30441,5006ee4969274e748cb817d2433c65ab,48,26.25,2018-05-06,F,61,82000.0
30443,b1cf5025a03743708da33566672625c7,48,22.15,2016-03-24,F,61,115000.0
30446,e8fe7ffcf1634713a819d48447737c90,48,2.63,2017-10-26,M,27,44000.0
30447,a126d354276d4b37b32b8f2ddac3235f,48,4.26,2016-04-20,,118,
30448,519ae2c224ad4ff491e02352baa38804,48,24.61,2016-12-19,F,73,108000.0
30449,8db6b535086043c8ad6e919f513d1ce5,48,9.76,2016-03-30,F,86,55000.0
30451,86e247f4637741d698eade285d30fa73,48,6.1,2017-10-24,F,37,59000.0
30453,66cc83ad312a4b728956e888e0812051,48,7.7,2018-04-01,M,50,70000.0
30454,2e6f1b4a2bea4207bcfbcee2b6efcdbc,48,14.18,2017-02-20,F,53,73000.0
30455,d911d7d5361f4d0d9ccbdc88bd8ca970,48,1.13,2014-04-13,F,32,50000.0
30457,da6918b53fd54371a5ce83b2092fd01c,48,9.09,2017-08-31,M,45,55000.0
30458,c6e6cc63d68b471993cd170a553d0dbf,48,11.33,2016-07-10,F,52,63000.0
30460,66126a3b16544863b08b9c97c2a8ec90,48,13.75,2018-01-07,F,66,55000.0
30461,1f9b6e1cebeb48dcb6cd5965b408c989,48,8.83,2017-08-19,F,33,30000.0
30462,981ed25a47684c6da38aff1ef8aab7b9,48,8.91,2017-08-23,M,24,35000.0
30464,06833436ed1a4cc1bda33978472e4444,48,27.76,2017-10-30,F,59,93000.0
30468,5c29ee406ced442ca7fe5523b4160412,48,25.15,2017-07-30,F,57,102000.0
30472,9da6fe9306cf422497b62ac85ddd0f1b,48,0.56,2018-03-04,F,69,43000.0
30475,21a8e90d61c246a992135c38f564891d,48,2.2,2018-01-06,M,55,68000.0
30476,f0150d90b51043cfa0943ca9dffdfe1e,48,4.61,2018-04-18,M,24,70000.0
30477,0aea37c300ba4262b523881c7112484d,48,0.6000000000000001,2015-04-20,M,28,74000.0
30478,394bb4dab27c47fbb08c6dc2912e88b8,48,0.09,2016-02-19,,118,
30479,a29f77fbfa8b4412966080028a5beb30,48,13.8,2015-10-31,M,51,47000.0
30481,447a13f9a0124f0098574ee85af55d13,48,16.46,2016-12-29,M,50,76000.0
30483,a3d2267a2d1f4eaabd6869c07b03cdf6,48,2.95,2017-04-17,M,67,38000.0
30484,b34aa1f6e51a4aecb416b70cc2d6c716,48,24.81,2016-03-22,F,77,92000.0
30485,f838af6aec284aad99aee4039f8eb9cf,48,1.62,2013-08-13,M,58,62000.0
30486,c706c573a9114bd48e87cdae246b1afb,48,13.06,2016-04-24,F,64,72000.0
30488,3ce891b51f7e40f180ca685abc28e4ce,48,40.23,2018-03-25,M,54,111000.0
30489,a2d1f5082c0d476298e7bc6e904228a0,48,18.45,2017-07-19,M,54,70000.0
30491,33ca79edeaf946929d96acd1d4c1d4eb,48,3.75,2018-01-24,M,26,39000.0
30492,ccfba2843e944de0aadd187c61cd2774,48,2.63,2016-02-29,M,82,57000.0
30494,bde862d5e203492bacf656c8bddcead5,48,4.94,2016-08-25,M,57,66000.0
30497,13df477da33a44899ba8d50e3710d723,48,10.13,2017-01-15,M,21,48000.0
30498,c657123dfe3d4abba20f171cf8bd73a7,48,0.72,2018-07-13,M,21,64000.0
30499,6282cafdf03544f1956b3596bb3156cc,48,12.32,2017-04-12,F,74,71000.0
30500,4004ab48104f402aa580c53b4d09d9dd,48,3.3,2016-12-02,,118,
30501,4ffeee15f92b482aa4db8427136874b8,48,29.36,2016-04-17,M,51,110000.0
30502,defe7c573e7540aaa1bb9a47a778ab04,48,8.55,2015-11-12,M,65,61000.0
30504,3e71633fb9fa489ba6396c1e72807eed,48,1.8399999999999999,2014-10-04,M,43,50000.0
30505,7236a35b4970427cb85791371e40d96a,48,2.12,2016-06-19,M,55,48000.0
30506,84729eeb5f64452eb8d0b4202f13c6e7,48,4.66,2018-02-25,M,53,36000.0
30507,e939b759b0fc46c5a10563315f01d91e,48,2.47,2017-01-08,,118,
30508,2119673616e04d3eb001c92dee19ddc5,48,475.2,2017-10-23,F,67,67000.0
